com,com_name,nombre_pistes_cyclables
33550,Villenave-d'Ornon,205
59017,Armentières,205
44215,Vertou,203
67043,Bischheim,203
59360,Loos,203
62765,Saint-Omer,202
33039,Bègles,201
05061,Gap,200
61001,Alençon,200
94080,Vincennes,199
81065,Castres,197
26058,Bourg-lès-Valence,197
06004,Antibes,196
77251,Lieusaint,196
59122,Cambrai,195
34301,Sète,194
59526,Saint-Amand-les-Eaux,192
91103,Brétigny-sur-Orge,192
24037,Bergerac,191
75103,Paris 3e Arrondissement,190
84089,Pertuis,190
69385,Lyon 5e Arrondissement,189
13208,Marseille 8e Arrondissement,189
33056,Blanquefort,188
33236,Lège-Cap-Ferret,188
77108,Chelles,187
66171,Saint-Cyprien,186
52448,Saint-Dizier,185
72154,Flèche,185
94016,Cachan,183
59392,Maubeuge,183
44035,Chapelle-sur-Erdre,183
91027,Athis-Mons,182
68297,Saint-Louis,182
38179,Gières,181
91521,Ris-Orangis,181
39198,Dole,180
04112,Manosque,179
94003,Arcueil,179
45286,Saint-Jean-le-Blanc,177
35115,Fougères,176
62498,Lens,175
54329,Lunéville,175
44172,Sainte-Luce-sur-Loire,175
62119,Béthune,175
94068,Saint-Maur-des-Fossés,174
94081,Vitry-sur-Seine,173
33069,Bouscat,173
49353,Trélazé,172
69384,Lyon 4e Arrondissement,172
34154,Mauguio,171
13056,Martigues,171
34057,Castelnau-le-Lez,170
33075,Bruges,170
69277,Genas,168
62160,Boulogne-sur-Mer,168
31446,Ramonville-Saint-Agne,168
46042,Cahors,168
57757,Yutz,168
40304,Soorts-Hossegor,167
40088,Dax,165
34003,Agde,165
33119,Cenon,164
92072,Sèvres,164
51108,Châlons-en-Champagne,164
35236,Redon,164
14047,Bayeux,163
55545,Verdun,163
88160,Épinal,162
38382,Saint-Égrève,162
85109,Herbiers,161
76451,Mont-Saint-Aignan,160
93051,Noisy-le-Grand,160
26235,Pierrelatte,160
95500,Pontoise,159
06029,Cannes,159
73213,Ravoire,159
91645,Verrières-le-Buisson,158
59368,Madeleine,158
45285,Saint-Jean-de-la-Ruelle,157
59588,Téteghem-Coudekerque-Village,157
92014,Bourg-la-Reine,157
94046,Maisons-Alfort,156
17094,Châtelaillon-Plage,155
69204,Saint-Genis-Laval,155
25462,Pontarlier,154
